year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2020,2020-12-16,Gay,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,24,24,1
2020,2020-01-20,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,26,13,1
2020,2020-01-09,Catholic,Misdemeanor,Other,"Larceny,Petit From Building,Unattended, Package Theft Inside",Manhattan,34,13,1
2020,2020-01-11,Catholic,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,34,13,1
2020,2020-02-26,Gay,Misdemeanor,Assault,"Menacing,Unclassified",Bronx,44,14,1
2020,2020-08-09,Gay,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,60,20,1
2020,2020-02-04,Gay,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,71,14,1
2020,2020-04-21,Other Ethnicity,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,88,16,1
2020,2020-06-04,Black,Felony,Misc. Penal Law,Making Terroristic Threat,Queens,109,18,1
2020,2020-01-31,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,113,13,1
2020,2020-06-09,Gay,Felony,Robbery,"Robbery,Open Area Unclassified",Staten,120,18,1
2021,2021-06-21,Asian,Misdemeanor,Other,"Child, Endangering Welfare",Manhattan,1,30,1
2021,2021-02-13,Lesbian,Misdemeanor,Other,"Sexual Abuse 3,2",Manhattan,6,26,1
2021,2021-11-18,White,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Manhattan,6,35,1
2021,2021-09-23,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,7,33,1
2021,2021-04-24,Asian,Felony,Grand Larceny,"Larceny,Grand From Person,Personal Electronic Device(Snatch)",Manhattan,9,28,1
2021,2021-09-17,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,10,33,1
2021,2021-11-20,Gay,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,13,35,1
2021,2021-03-30,Asian,Felony,Misc. Penal Law,Reckless Endangerment 1,Manhattan,14,27,1
2021,2021-05-02,Gay,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,14,29,1
2021,2021-05-19,Asian,Felony,Robbery,"Robbery,Personal Electronic Device",Manhattan,14,29,1
2021,2021-08-11,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,14,32,1
2021,2021-10-07,Gay,Felony,Robbery,"Robbery,Open Area Unclassified",Manhattan,14,34,1
2021,2021-04-17,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,18,28,1
2021,2021-08-06,Gay,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,18,32,1
2021,2021-04-23,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,19,28,1
2021,2021-04-23,Asian,Felony,Other,"Manslaughter,Unclassified - No",Manhattan,25,28,1
2021,2021-11-02,Muslim,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Manhattan,25,35,1
2021,2021-04-14,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,26,28,1
2021,2021-08-17,Other Ethnicity,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,26,32,1
2021,2021-01-05,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,28,25,1
2021,2021-08-01,Gay,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,40,32,1
2021,2021-04-14,Transgender,Felony,Robbery,"Robbery,Pocketbook/Carried Bag",Bronx,42,28,1
2021,2021-12-13,Black,Misdemeanor,Other,"Trespass 3, Criminal",Brooklyn,60,36,1
2021,2021-07-25,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,62,31,1
2021,2021-10-20,Gay,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,67,34,1
2021,2021-03-29,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,75,27,1
2021,2021-08-31,Transgender,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,75,32,1
2021,2021-03-29,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Queens,104,27,1
2021,2021-05-23,Asian,Felony,Robbery,"Robbery,Open Area Unclassified",Queens,107,29,1
2021,2021-03-12,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,109,27,1
2021,2021-05-17,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Queens,113,29,1
2021,2021-04-10,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Queens,114,28,1
2022,2022-09-16,Gay,Felony,Misc. Penal Law,Menacing 1St Degree (Vict Not,Manhattan,1,45,1
2022,2022-02-07,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,5,38,1
2022,2022-06-09,Gay,Felony,Robbery,"Robbery,Neckchain/Jewelry",Manhattan,6,42,1
2022,2022-02-28,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,9,38,1
2022,2022-03-09,Asian,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,13,39,1
2022,2022-06-25,Gay,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,19,42,1
2022,2022-06-27,Gay,Misdemeanor,Assault,"Menacing,Unclassified",Manhattan,25,42,1
2022,2022-03-04,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,26,39,1
2022,2022-01-13,Other Ethnicity,Misdemeanor,Assault,"Menacing,Unclassified",Bronx,44,37,1
2022,2022-02-15,Gay,Felony,Robbery,"Robbery,Neckchain/Jewelry",Bronx,46,38,1
2022,2022-07-01,Gay,Felony,Robbery,"Robbery,Pocketbook/Carried Bag",Bronx,48,43,1
2022,2022-08-21,Gay,Felony,Felony Assault,Strangulation 1St,Brooklyn,60,44,1
2022,2022-03-15,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,61,39,1
2022,2022-03-19,Other Ethnicity,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,61,39,1
2022,2022-04-18,Black,Felony,Other,"Burglary,Unclassified,Night",Brooklyn,62,40,1
2022,2022-08-02,Other Ethnicity,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,66,44,1
2022,2022-07-18,Asian,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Brooklyn,69,43,1
2022,2022-07-18,Asian,Felony,Misc. Penal Law,Aggravated Harassment 1,Brooklyn,69,43,1
2022,2022-10-27,Hispanic,Misdemeanor,Assault,"Menacing,Unclassified",Queens,101,46,1
2022,2022-02-27,Gay,Felony,Robbery,"Robbery,Personal Electronic Device",Queens,108,38,1
2022,2022-08-18,Transgender,Felony,Robbery,"Robbery,Pocketbook/Carried Bag",Queens,110,44,1
2022,2022-03-28,Black,Felony,Other,"Burglary,Unclassified,Night",Queens,112,39,1
2022,2022-06-08,Catholic,Misdemeanor,Other,"Larceny,Petit From Building,Un",Queens,112,42,1
2022,2022-05-18,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,41,1
2022,2022-06-28,Black,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,123,42,1
