rDate,year,bias,offense_Category,crime_Category,offense,description,borough,precinct,borough_add,arrest_id,dateTime,month,dayYear,toDate,month_bin,offense1,index_
2022-06-09T00:00:00.000,2022,Jewish,Religion/Religious Practice,Felony,Criminal Mischief & Related Of,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,90,Patrol Boro Bklyn_N,K34696350,2022-06-09,6,160,256,42,Criminal Mischief,1
2022-10-24T00:00:00.000,2022,Jewish,Religion/Religious Practice,Misdemeanor,Off. Agnst Pub Ord Sensblty &,Aggravated Harassment 2,Brooklyn,90,Patrol Boro Bklyn_N,K34723394,2022-10-24,10,297,256,46,Agst Public Order,1
2023-03-30T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Criminal Mischief & Related Of,Criminal Mis 2 & 3,Brooklyn,61,Patrol Boro Bklyn_S,K35694030,2023-03-30,3,89,256,51,Criminal Mischief,1
2023-05-14T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Criminal Mischief & Related Of,"Criminal Mischief 4Th, Graffit",Brooklyn,61,Patrol Boro Bklyn_S,K35714876,2023-05-14,5,134,256,53,Criminal Mischief,1
2023-05-15T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Criminal Mischief & Related Of,"Criminal Mischief 4Th, Graffit",Brooklyn,61,Patrol Boro Bklyn_S,K35714874,2023-05-15,5,135,256,53,Criminal Mischief,1
2023-07-26T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Burglary,"Burglary,Commercial,Day",Brooklyn,61,Patrol Boro Bklyn_S,K35710280,2023-07-26,7,207,256,55,Other,1
2023-10-26T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Brooklyn,62,Patrol Boro Bklyn_S,K35734345,2023-10-26,10,299,256,58,Grand Larceny,1
2023-10-17T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Off. Agnst Pub Ord Sensblty &,Aggravated Harassment 2,Brooklyn,66,Patrol Boro Bklyn_S,K36689466,2023-10-17,10,290,256,58,Agst Public Order,1
2023-12-09T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Grand Larceny,"Larceny,Grand From Person,Uncl",Brooklyn,66,Patrol Boro Bklyn_S,K35735203,2023-12-09,12,343,256,60,Grand Larceny,1
2023-03-14T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,71,Patrol Boro Bklyn_S,K35685357,2023-03-14,3,73,256,51,Robbery,1
2023-03-14T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,71,Patrol Boro Bklyn_S,K35686064,2023-03-14,3,73,256,51,Robbery,1
2023-03-14T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,71,Patrol Boro Bklyn_S,K35687350,2023-03-14,3,73,256,51,Robbery,1
2023-03-14T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,71,Patrol Boro Bklyn_S,K35694291,2023-03-14,3,73,256,51,Robbery,1
2023-04-25T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Reckless Endangerment 1,Brooklyn,71,Patrol Boro Bklyn_S,K35692706,2023-04-25,4,115,256,52,Misc. Penal Law,1
2023-06-10T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Dangerous Drugs,"Controlled Substance,Possess.",Brooklyn,71,Patrol Boro Bklyn_S,K35701417,2023-06-10,6,161,256,54,Other,1
2023-08-09T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Assault 3 & Related Offenses,"Menacing,Unclassified",Brooklyn,71,Patrol Boro Bklyn_S,K35712609,2023-08-09,8,221,256,56,Assault,1
2023-07-25T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Assault 3 & Related Offenses,"Menacing,Unclassified",Brooklyn,72,Patrol Boro Bklyn_S,K35709680,2023-07-25,7,206,256,55,Assault,1
2023-12-19T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Criminal Mischief & Related Of,"Criminal Mischief 4Th, Graffit",Brooklyn,78,Patrol Boro Bklyn_S,K36680962,2023-12-19,12,353,256,60,Criminal Mischief,1
2023-01-08T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Assault 3 & Related Offenses,"Menacing,Unclassified",Brooklyn,79,Patrol Boro Bklyn_N,K35673323,2023-01-08,1,8,256,49,Assault,1
2023-05-12T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Open Area Unclassified",Brooklyn,84,Patrol Boro Bklyn_N,K35695976,2023-05-12,5,132,256,53,Robbery,1
2023-10-27T00:00:00.000,2023,Jewish,Religion/Religious Practice,Misdemeanor,Off. Agnst Pub Ord Sensblty &,Aggravated Harassment 2,Brooklyn,90,Patrol Boro Bklyn_N,K35727036,2023-10-27,10,300,256,58,Agst Public Order,1
2024-05-15T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Criminal Mischief & Related Of,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,62,Patrol Boro Bklyn_S,K36699842,2024-05-15,5,136,256,65,Criminal Mischief,1
2024-05-15T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Criminal Mischief & Related Of,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,62,Patrol Boro Bklyn_S,K36699848,2024-05-15,5,136,256,65,Criminal Mischief,1
2024-05-29T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Reckless Endangerment 1,Brooklyn,63,Patrol Boro Bklyn_S,K36702957,2024-05-29,5,150,256,65,Misc. Penal Law,1
2024-01-03T00:00:00.000,2024,Jewish,Religion/Religious Practice,Felony,Robbery,"Robbery,Neckchain/Jewelry",Brooklyn,71,Patrol Boro Bklyn_S,K36679303,2024-01-03,1,3,256,61,Robbery,1
2024-04-16T00:00:00.000,2024,Jewish,Religion/Religious Practice,Misdemeanor,Sex Crimes,"Sexual Abuse 3,2",Brooklyn,79,Patrol Boro Bklyn_N,K36693650,2024-04-16,4,107,256,64,Other,1
2024-01-04T00:00:00.000,2024,Jewish,Religion/Religious Practice,Misdemeanor,Petit Larceny,"Larceny,Petit From Open Areas,",Brooklyn,90,Patrol Boro Bklyn_N,K36672777,2024-01-04,1,4,256,61,Other,1
2024-02-09T00:00:00.000,2024,Jewish,Religion/Religious Practice,Misdemeanor,Off. Agnst Pub Ord Sensblty &,Aggravated Harassment 2,Brooklyn,90,Patrol Boro Bklyn_N,K36680092,2024-02-09,2,40,256,62,Agst Public Order,1
2024-04-25T00:00:00.000,2024,Jewish,Religion/Religious Practice,Misdemeanor,Assault 3 & Related Offenses,"Menacing,Unclassified",Brooklyn,90,Patrol Boro Bklyn_N,K36695688,2024-04-25,4,116,256,64,Assault,1
2019-12-26T00:00:00.000,2019,Jewish,Religion/Religious Practice,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,61,Patrol Boro Bklyn_S,K31734302,2019-12-26,12,360,256,12,Felony Assault,1
2019-10-30T00:00:00.000,2019,Gay,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,67,Patrol Boro Bklyn_S,K31726204,2019-10-30,10,303,256,10,Felony Assault,1
2019-04-08T00:00:00.000,2019,Lesbian,Sexual Orientation,Felony,Felony Assault,"Assault 2,1,Unclassified",Brooklyn,75,Patrol Boro Bklyn_N,K31690691,2019-04-08,4,98,256,4,Felony Assault,1
