Address,longitude,latitude,rank,Action_rank,cboard,precinct,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
496 Fulton Street,-73.9830450751783,40.68972693788749,High,High,302,84,0.82,39,91.37,106.34,0.0,5.0,7.0,27.0,0.0,21.0,11.0,7.0,0.0
335 Adams Street,-73.98890762428404,40.6935648397304,High,Medium,302,84,0.66,41,90.92,94.85,0.0,1.0,14.0,26.0,0.0,23.0,4.0,13.0,1.0
163 Smith Street,-73.99075856566026,40.6862776392977,High,High,302,84,0.94,34,90.6,92.1,1.0,5.0,4.0,24.0,0.0,23.0,9.0,2.0,0.0
1843 Grand Concourse,-73.90730305681124,40.84805141612977,High,High,205,46,0.92,39,87.97,145.37,0.0,5.0,9.0,23.0,2.0,14.0,22.0,2.0,1.0
21-23 49 Avenue,-73.94866915888787,40.74242438317093,High,Low,402,108,0.21,52,87.51,110.67,1.0,8.0,11.0,31.0,1.0,1.0,10.0,35.0,6.0
15 Bond Street,-73.9832543398639,40.689238399462276,High,High,302,84,0.88,41,87.3,122.03,0.0,8.0,4.0,27.0,2.0,27.0,9.0,5.0,0.0
17 Bond Street,-73.9832868043886,40.68919174308959,High,High,302,84,0.95,38,86.54,112.3,0.0,7.0,4.0,27.0,0.0,18.0,18.0,2.0,0.0
180 Jay Street,-73.98688710811888,40.6991474846209,High,High,302,84,0.8,59,85.58,108.17,0.0,7.0,12.0,39.0,1.0,25.0,22.0,8.0,4.0
25-50 Crescent Street,-73.92224006649279,40.77215438219322,High,High,401,114,0.84,61,82.05,149.95,0.0,9.0,14.0,34.0,4.0,48.0,3.0,9.0,1.0
9 Bond Street,-73.98316415846521,40.68937562480905,High,High,302,84,0.78,99,80.88,91.72,0.0,20.0,20.0,59.0,0.0,40.0,37.0,20.0,2.0
29-76 Northern Boulevard,-73.93532344785076,40.75043233136792,High,Low,401,114,0.47,34,79.58,109.99,2.0,6.0,4.0,19.0,3.0,14.0,2.0,15.0,3.0
35-02 Northern Boulevard,-73.92904177120877,40.75202607630817,High,Low,401,114,0.39,44,78.56,121.48,0.0,11.0,7.0,22.0,4.0,10.0,7.0,25.0,2.0
914 Grand Concourse,-73.9219904864649,40.82802863906225,High,Medium,204,44,0.73,33,76.03,139.73,0.0,3.0,10.0,17.0,3.0,9.0,15.0,2.0,7.0
470 Vanderbilt Avenue,-73.96782420285443,40.68304840514443,High,High,302,88,0.79,39,75.95,109.83,1.0,6.0,7.0,25.0,0.0,13.0,18.0,6.0,2.0
5996 Broadway,-73.8977461234951,40.89053398816524,High,High,226,50,0.88,49,75.68,162.66,1.0,6.0,10.0,26.0,6.0,21.0,22.0,6.0,0.0
188 Eagle Street,-73.95331499198926,40.73531470660981,High,High,301,94,0.87,45,75.63,105.4,0.0,8.0,10.0,26.0,1.0,6.0,33.0,1.0,5.0
333 Adams Street,-73.98890401269871,40.693597776605344,High,Medium,302,84,0.68,219,75.5,83.14,11.0,37.0,45.0,126.0,0.0,86.0,64.0,68.0,1.0
343 Adams Street,-73.9889148583962,40.69343309153355,High,Medium,302,84,0.65,540,73.58,79.72,36.0,82.0,108.0,314.0,0.0,203.0,147.0,183.0,7.0
200 Schermerhorn Street,-73.98567396820371,40.688821521050095,High,Medium,302,84,0.58,72,73.32,90.73,0.0,15.0,13.0,43.0,1.0,18.0,24.0,21.0,9.0
313 State Street,-73.98617890232683,40.688264394422056,High,High,302,84,0.89,35,72.63,81.46,0.0,3.0,11.0,21.0,0.0,10.0,21.0,4.0,0.0
355 Adams Street,-73.98892210296869,40.69323821365493,High,Medium,302,84,0.65,900,71.82,74.8,62.0,163.0,161.0,514.0,0.0,317.0,266.0,308.0,9.0
357 Adams Street,-73.98892210844116,40.69320527643084,High,Medium,302,84,0.71,533,71.48,79.36,27.0,106.0,91.0,309.0,0.0,180.0,196.0,154.0,3.0
299 Adams Street,-73.98886420159037,40.694459630049764,High,Medium,302,84,0.66,450,70.85,77.69,26.0,66.0,99.0,259.0,0.0,178.0,117.0,153.0,2.0
283 Adams Street,-73.98885334596429,40.69468195522714,High,Medium,302,84,0.72,75,69.78,81.81,0.0,11.0,22.0,42.0,0.0,36.0,18.0,19.0,2.0
55 Johnson Street,-73.98820778478213,40.695008518302615,High,Medium,302,84,0.54,54,69.48,89.31,1.0,9.0,14.0,30.0,0.0,16.0,13.0,17.0,8.0
68 Johnson Street,-73.98774619954254,40.69497553286469,High,High,302,84,0.81,26,69.37,96.2,0.0,4.0,5.0,17.0,0.0,6.0,15.0,4.0,1.0
54 Hoyt Street,-73.98622563903528,40.688936868754766,High,High,302,84,0.83,46,68.4,83.9,0.0,11.0,7.0,28.0,0.0,20.0,18.0,4.0,4.0
2106 Grand Concourse,-73.90222662441434,40.85412674741976,High,High,205,46,0.88,26,67.68,271.95,2.0,8.0,0.0,9.0,7.0,6.0,17.0,2.0,1.0
33-00 Northern Boulevard,-73.9310990962687,40.75198615407519,High,Medium,401,114,0.62,68,67.52,136.92,2.0,14.0,14.0,32.0,6.0,29.0,13.0,23.0,3.0
345 Adams Street,-73.98891486387227,40.69340015431026,High,Medium,302,84,0.53,1085,65.82,85.34,48.0,207.0,238.0,584.0,9.0,325.0,248.0,440.0,73.0
331 Adams Street,-73.98890400721724,40.693630713827794,High,Medium,302,84,0.65,68,64.52,82.49,2.0,16.0,14.0,36.0,0.0,23.0,21.0,22.0,2.0
177 East  188 Street,-73.89826782415042,40.8615971484909,High,High,205,46,0.89,38,62.28,79.17,1.0,6.0,10.0,20.0,1.0,13.0,21.0,4.0,0.0
490 Fulton Street,-73.98327943503588,40.68982029435547,High,High,302,84,0.92,40,62.24,102.11,0.0,8.0,12.0,20.0,0.0,20.0,17.0,3.0,0.0
34-00 Northern Boulevard,-73.92935578329792,40.752020779822686,High,Low,401,114,0.48,48,61.64,107.48,3.0,11.0,9.0,24.0,1.0,13.0,10.0,22.0,3.0
1-50 51 Avenue,-73.95919555428878,40.74295558581093,High,Low,402,108,0.5,54,60.72,90.69,2.0,15.0,10.0,25.0,2.0,15.0,12.0,22.0,5.0
122 West Street,-73.95944820665201,40.7310352126807,High,Medium,301,94,0.68,31,60.28,98.04,2.0,7.0,6.0,15.0,1.0,9.0,12.0,8.0,2.0
2050 Grand Concourse,-73.90352668892122,40.852508466421845,Medium,Medium,205,46,0.75,36,59.44,105.5,1.0,8.0,9.0,16.0,2.0,6.0,21.0,5.0,4.0
2278 Grand Concourse,-73.9000095680363,40.85731419224176,Medium,High,205,46,0.93,43,58.23,77.58,1.0,12.0,9.0,21.0,0.0,19.0,21.0,3.0,0.0
545 Vanderbilt Avenue,-73.96760471057662,40.682131589537796,Medium,High,302,88,0.82,65,55.95,80.75,2.0,14.0,19.0,29.0,1.0,27.0,26.0,12.0,0.0
74 Dekalb Avenue,-73.97993674881879,40.6898719107593,Medium,High,302,88,0.89,36,55.8,99.15,0.0,9.0,11.0,16.0,0.0,22.0,10.0,4.0,0.0
360 Adams Street,-73.98890392545164,40.69412202737985,Medium,Medium,302,84,0.69,173,55.48,68.89,11.0,29.0,49.0,84.0,0.0,83.0,37.0,51.0,2.0
1880 7 Avenue,-73.95341991741957,40.80201194125301,Medium,Medium,110,28,0.64,45,52.58,52.77,3.0,14.0,11.0,17.0,0.0,11.0,18.0,16.0,0.0
