Address,longitude,latitude,rank,Action_rank,cboard,precinct,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
2503 Grand Concourse,-73.89692479359431,40.862748730567574,Medium,Medium,207,52,0.59,27,39.78,51.15,0.0,10.0,12.0,5.0,0.0,9.0,7.0,9.0,2.0
458 7 Street,-73.98107151028321,40.6683366097084,Medium,High,306,78,0.85,33,38.62,45.7,4.0,9.0,12.0,8.0,0.0,8.0,20.0,5.0,0.0
200 Central Park West,-73.97225418170498,40.781311764946494,Medium,Medium,107,20,0.67,49,38.45,36.27,2.0,17.0,20.0,10.0,0.0,2.0,31.0,16.0,0.0
2537 Grand Concourse,-73.89649007626478,40.86331649424644,Medium,Medium,207,52,0.66,41,38.13,106.88,2.0,10.0,15.0,11.0,3.0,17.0,10.0,12.0,2.0
672 Vanderbilt Avenue,-73.9695365254315,40.67582737198325,Medium,High,308,78,0.89,28,37.59,40.81,0.0,12.0,11.0,5.0,0.0,9.0,16.0,3.0,0.0
99 Prince Street,-73.99892126942073,40.72480900674262,Medium,Medium,102,1,0.65,65,37.15,41.42,3.0,24.0,25.0,13.0,0.0,37.0,5.0,21.0,2.0
284 St Nicholas Avenue,-73.95291921745444,40.81029531682005,Medium,Medium,110,28,0.7,66,36.4,73.5,2.0,27.0,20.0,16.0,2.0,17.0,29.0,20.0,1.0
595 Dean Street,-73.97013281848764,40.680652840928126,Medium,Low,308,78,0.42,590,36.31,44.02,32.0,198.0,245.0,113.0,2.0,124.0,124.0,333.0,9.0
179 Prince Street,-74.00199876380289,40.7263295898545,Medium,Medium,102,1,0.67,30,36.06,36.4,0.0,13.0,13.0,4.0,0.0,18.0,2.0,9.0,1.0
310 Mcguinness Boulevard,-73.95206458229488,40.73296193853216,Medium,High,301,94,0.85,41,36.02,50.5,2.0,14.0,15.0,10.0,0.0,3.0,32.0,6.0,0.0
1851 7 Avenue,-73.95399117915053,40.80118875268313,Medium,Medium,110,28,0.72,47,35.98,72.57,3.0,20.0,11.0,13.0,2.0,19.0,15.0,12.0,3.0
308 4 Street,-73.98333798454908,40.67196829962845,Medium,High,306,78,0.93,45,35.97,37.27,6.0,14.0,17.0,8.0,0.0,14.0,28.0,3.0,0.0
233 Spring Street,-74.00473708929748,40.725582935878776,Medium,High,102,1,0.91,53,35.72,49.08,1.0,24.0,19.0,8.0,1.0,38.0,10.0,5.0,0.0
180 Central Park West,-73.9730634642241,40.78019759442051,Medium,High,107,20,0.8,84,35.7,34.04,4.0,34.0,44.0,2.0,0.0,1.0,66.0,17.0,0.0
248 St Nicholas Avenue,-73.95296722445569,40.80881593064137,Medium,Low,110,28,0.45,47,35.69,54.99,2.0,24.0,19.0,14.0,1.0,4.0,17.0,39.0,0.0
635 West   59 Street,-73.99199942830761,40.772279153702485,Medium,Low,107,20,0.17,60,35.47,43.01,0.0,24.0,24.0,12.0,0.0,2.0,8.0,44.0,6.0
480 2 Street,-73.97904823124534,40.67158332974394,Medium,High,306,78,0.79,33,35.37,40.9,3.0,12.0,8.0,10.0,0.0,4.0,22.0,7.0,0.0
1916 7 Avenue,-73.95275828254255,40.802917431671865,Medium,Medium,110,28,0.66,47,34.95,55.93,10.0,13.0,14.0,12.0,1.0,15.0,16.0,19.0,0.0
262 7 Avenue,-73.97980603468118,40.6690363126729,Medium,Medium,306,78,0.7,30,34.38,35.11,6.0,7.0,9.0,8.0,0.0,7.0,14.0,7.0,2.0
289 St Nicholas Avenue,-73.95278540380059,40.810512095195776,Medium,High,109,26,0.82,45,33.93,39.93,1.0,17.0,18.0,9.0,0.0,16.0,21.0,8.0,0.0
100 West  119 Street,-73.94875159526586,40.804148101975194,Medium,High,110,28,0.81,36,33.9,60.62,0.0,15.0,10.0,11.0,0.0,9.0,20.0,7.0,0.0
532 Neptune Avenue,-73.9730254612614,40.57986766144209,Medium,Low,313,60,0.37,89,33.88,38.69,2.0,34.0,44.0,13.0,0.0,16.0,17.0,46.0,14.0
