cboard,community_board,cboard_expand,total,Median_Minutes,Mean_Minutes,InAction_Rate,min0->5,min5->30,min30->60,min60->360,min360+,Late,Action,No-Action,Summon
306,06 BROOKLYN,"Bklyn_06: Park Slope, Gowanus, Red Hook, Cobble Hill, Carroll Gardens",5123,27.23,34.09,0.76,577.0,2171.0,1700.0,674.0,1.0,1909.0,1175.0,2010.0,29.0
307,07 BROOKLYN,"Bklyn_07: Sunset Park, Windsor Terrance",303,50.75,72.47,0.68,5.0,79.0,93.0,123.0,3.0,93.0,95.0,112.0,3.0
308,08 BROOKLYN,"Bklyn_08: Prospect/Crown Heights, Weeksville",2575,40.67,55.35,0.7,103.0,820.0,918.0,724.0,10.0,855.0,754.0,936.0,30.0
309,09 BROOKLYN,"Bklyn_09: Leffert Garden, Wingate, Crown Heights",116,66.68,106.27,0.66,0.0,31.0,23.0,54.0,8.0,50.0,34.0,26.0,6.0
310,10 BROOKLYN,"Bklyn_10: Bay Ridge, Dyker Heights, Fort Hamiliton",233,49.13,80.99,0.59,15.0,58.0,65.0,87.0,8.0,80.0,92.0,57.0,4.0
311,11 BROOKLYN,"Bklyn_11: Bensonhurst, Bath Beach, Gravesend, Mapleton",35,90.85,110.53,0.8,0.0,10.0,3.0,22.0,0.0,13.0,5.0,15.0,2.0
312,12 BROOKLYN,"Bklyn_12: Kensington, Borough Park, Ocean Parkway, Midwood",31,55.4,105.92,0.94,0.0,10.0,8.0,12.0,1.0,11.0,2.0,18.0,0.0
313,13 BROOKLYN,"Bklyn_13: Coney Island, Brighton Beach, Seagate",269,31.52,43.63,0.41,3.0,121.0,105.0,39.0,1.0,50.0,133.0,61.0,25.0
314,14 BROOKLYN,"Bklyn_14: Midwood, Flatbush, Kensington, Ocean Parkway",116,73.71,120.37,0.73,0.0,25.0,21.0,64.0,6.0,42.0,23.0,43.0,8.0
315,15 BROOKLYN,"Bklyn_15: East Gravesend, Sheepshead Bay, Madison",115,102.2,200.28,0.83,0.0,13.0,24.0,56.0,22.0,62.0,15.0,33.0,5.0
316,16 BROOKLYN,"Bklyn_16: Brownsville, Ocean Hill",19,89.98,113.7,0.58,1.0,4.0,3.0,11.0,0.0,5.0,6.0,6.0,2.0
317,17 BROOKLYN,"Bklyn_17: East Flatbush, Rugby, Remsen Village, Farragut, Rugby",33,62.2,77.44,0.73,0.0,9.0,7.0,16.0,1.0,12.0,5.0,12.0,4.0
318,18 BROOKLYN,"Bklyn_18: Canarsie, Flatlands, Marine Park, Georgetown",56,57.92,137.46,0.45,2.0,8.0,19.0,25.0,2.0,14.0,27.0,11.0,4.0
355,55 BROOKLYN,"Bklyn_55: Prospect Park, Botanic Garden",3,22.32,27.49,0.33,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
356,56 BROOKLYN,Bklyn_56: Floyd Bennett Field,1,388.8,388.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
401,01 QUEENS,"Queen_01: Astoria, Long Island City",1371,81.95,152.81,0.66,25.0,254.0,244.0,694.0,154.0,654.0,401.0,254.0,62.0
402,02 QUEENS,"Queen_02: Sunnyside, Woodside",2464,34.34,61.24,0.51,158.0,967.0,665.0,618.0,56.0,321.0,1146.0,928.0,69.0
403,03 QUEENS,"Queen_03: Jackson Heights, East Elmhurst, North Corona",79,65.33,100.99,0.78,2.0,15.0,22.0,37.0,3.0,33.0,14.0,29.0,3.0
404,04 QUEENS,"Queen_04: Elmhurst, Corona",340,61.64,149.54,0.55,12.0,70.0,86.0,136.0,36.0,65.0,149.0,123.0,3.0
405,05 QUEENS,"Queen_05: Maspeth, Middle Village, Ridgewood, Glendale",105,244.83,294.87,0.78,1.0,4.0,12.0,58.0,30.0,56.0,13.0,26.0,10.0
406,06 QUEENS,"Queen_06: Rego Park, Forest Hills",388,42.28,69.78,0.81,16.0,127.0,106.0,134.0,5.0,115.0,68.0,198.0,7.0
407,07 QUEENS,"Queen_07: Flushing, Whitestone, College Point",124,67.94,154.97,0.7,0.0,30.0,22.0,59.0,13.0,55.0,35.0,32.0,2.0
408,08 QUEENS,"Queen_08: Fresh Meadows, Kew Gardens Hills, Jamaica Hills",29,84.72,255.13,0.79,3.0,4.0,3.0,11.0,8.0,8.0,3.0,15.0,3.0
409,09 QUEENS,"Queen_09: Woodhaven, Richmond Hill, Ozone Park, Kew Gardens",14,130.61,129.87,0.71,0.0,1.0,2.0,11.0,0.0,2.0,3.0,8.0,1.0
