precinct,precinct_name,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
6,Precinct# 6,0.78,1077,21.22,42.78,87.0,639.0,227.0,115.0,9.0,396.0,446.0,226.0,9.0
60,Precinct# 60,0.41,269,31.52,43.63,3.0,121.0,105.0,39.0,1.0,50.0,61.0,133.0,25.0
61,Precinct# 61,0.83,116,102.89,216.69,0.0,13.0,24.0,56.0,23.0,62.0,34.0,15.0,5.0
62,Precinct# 62,0.8,35,90.85,110.53,0.0,10.0,3.0,22.0,0.0,13.0,15.0,5.0,2.0
63,Precinct# 63,0.42,43,58.97,112.02,1.0,7.0,14.0,19.0,2.0,12.0,6.0,21.0,4.0
66,Precinct# 66,0.93,30,50.29,90.91,0.0,10.0,8.0,12.0,0.0,11.0,17.0,2.0,0.0
67,Precinct# 67,0.73,33,62.2,77.44,0.0,9.0,7.0,16.0,1.0,12.0,12.0,5.0,4.0
68,Precinct# 68,0.59,233,49.13,80.99,15.0,58.0,65.0,87.0,8.0,80.0,57.0,92.0,4.0
69,Precinct# 69,0.57,14,62.4,94.87,1.0,1.0,5.0,7.0,0.0,3.0,5.0,6.0,0.0
7,Precinct# 7,0.62,1642,25.92,32.61,33.0,925.0,529.0,154.0,1.0,519.0,495.0,590.0,38.0
70,Precinct# 70,0.73,116,73.71,120.37,0.0,25.0,21.0,64.0,6.0,42.0,43.0,23.0,8.0
71,Precinct# 71,0.66,116,66.68,106.27,0.0,31.0,23.0,54.0,8.0,50.0,26.0,34.0,6.0
72,Precinct# 72,0.68,304,50.84,74.07,5.0,79.0,93.0,123.0,4.0,93.0,113.0,95.0,3.0
73,Precinct# 73,0.58,19,89.98,113.7,1.0,4.0,3.0,11.0,0.0,5.0,6.0,6.0,2.0
75,Precinct# 75,0.77,108,140.34,189.34,1.0,8.0,20.0,63.0,16.0,32.0,51.0,15.0,10.0
76,Precinct# 76,0.86,1081,25.6,30.29,91.0,529.0,366.0,95.0,0.0,622.0,312.0,137.0,10.0
77,Precinct# 77,0.85,979,52.08,75.42,20.0,249.0,280.0,424.0,6.0,437.0,398.0,128.0,16.0
78,Precinct# 78,0.7,5671,30.48,37.34,570.0,2231.0,1980.0,885.0,5.0,1714.0,2251.0,1673.0,33.0
79,Precinct# 79,0.74,661,31.87,44.71,35.0,275.0,205.0,143.0,3.0,170.0,317.0,154.0,20.0
81,Precinct# 81,0.68,60,32.42,35.54,9.0,17.0,25.0,9.0,0.0,10.0,31.0,17.0,2.0
83,Precinct# 83,0.54,542,59.13,86.08,4.0,107.0,165.0,256.0,10.0,172.0,118.0,233.0,19.0
84,Precinct# 84,0.69,7597,72.93,90.54,259.0,1202.0,1667.0,4386.0,83.0,2986.0,2275.0,2117.0,219.0
88,Precinct# 88,0.89,1264,56.72,86.12,11.0,298.0,351.0,589.0,15.0,573.0,555.0,126.0,10.0
9,Precinct# 9,0.81,2017,31.32,49.91,125.0,842.0,591.0,441.0,18.0,781.0,858.0,343.0,35.0
90,Precinct# 90,0.77,841,50.67,123.44,17.0,258.0,184.0,311.0,71.0,340.0,309.0,156.0,36.0
94,Precinct# 94,0.8,1024,57.26,83.26,25.0,279.0,224.0,483.0,13.0,270.0,551.0,148.0,55.0
